RowNames	Chr	GenomeStart	GenomeEnd	GenomeMid	FeatureStart	FeatureEnd	Strand	Description	EnsemblGeneID
1555	1	3092097	3092206	3092151	3092097	3092206	1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000064842
1	1	3206103	3661429	3433766	3661429	3206103	-1	X Kell blood group precursor related family member 4 [Source:MarkerSymbol;Acc:MGI:3528744]	ENSMUSG00000051951
2	1	3266404	3267429	3266916	3266404	3267429	1	Mus Musculus type D-like endogenous retrovirus 1 [Source:MarkerSymbol;Acc:MGI:2675046]	ENSMUSG00000073743
3	1	3670652	3670993	3670822	3670652	3670993	1	predicted gene, ENSMUSG00000073742 [Source:MarkerSymbol;Acc:MGI:3642703]	ENSMUSG00000073742
1567	1	3773893	3773942	3773917	3773942	3773893	-1	U7 small nuclear RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077600
1522	1	3773957	3774006	3773981	3774006	3773957	-1	U7 small nuclear RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077395
4	1	4334224	4350473	4342348	4350473	4334224	-1	retinitis pigmentosa 1 homolog (human) [Source:MarkerSymbol;Acc:MGI:1341105]	ENSMUSG00000025900
5	1	4481009	4486494	4483751	4486494	4481009	-1	SRY-box containing gene 17 [Source:MarkerSymbol;Acc:MGI:107543]	ENSMUSG00000025902
1493	1	4519098	4519204	4519151	4519098	4519204	1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000064376
1361	1	4679207	4679485	4679346	4679485	4679207	-1		ENSMUSG00000072448
1362	1	4761212	4762280	4761746	4761212	4762280	1		ENSMUSG00000050025
6	1	4763292	4775790	4769541	4775790	4763292	-1	mitochondrial ribosomal protein L15 [Source:MarkerSymbol;Acc:MGI:1351639]	ENSMUSG00000033845
7	1	4797943	4836817	4817380	4797943	4836817	1	lysophospholipase 1 [Source:MarkerSymbol;Acc:MGI:1344588]	ENSMUSG00000025903
8	1	4870130	4870732	4870431	4870732	4870130	-1	High mobility group box 3 (Fragment). [Source:Uniprot/SPTREMBL;Acc:A2AP78]	ENSMUSG00000062588
9	1	4882025	4885092	4883559	4882025	4885092	1		ENSMUSG00000033813
10	1	4900326	5009507	4954916	5009507	4900326	-1	regulator of G-protein signaling 20 [Source:MarkerSymbol;Acc:MGI:1929866]	ENSMUSG00000002459
11	1	5073254	5152630	5112942	5073254	5152630	1	ATPase, H+ transporting, lysosomal V1 subunit H [Source:MarkerSymbol;Acc:MGI:1914864]	ENSMUSG00000033793
12	1	5578574	5592947	5585760	5578574	5592947	1	opioid receptor, kappa 1 [Source:MarkerSymbol;Acc:MGI:97439]	ENSMUSG00000025905
13	1	5906388	5907374	5906881	5907374	5906388	-1	neuropeptides B/W receptor 1 [Source:MarkerSymbol;Acc:MGI:891989]	ENSMUSG00000033774
14	1	6204693	6205373	6205033	6205373	6204693	-1	RB1-inducible coiled-coil 1 [Source:MarkerSymbol;Acc:MGI:1341850]	ENSMUSG00000073741
15	1	6204743	6265656	6235199	6204743	6265656	1	RB1-inducible coiled-coil 1 [Source:MarkerSymbol;Acc:MGI:1341850]	ENSMUSG00000025907
16	1	6427686	6431303	6429494	6431303	6427686	-1		ENSMUSG00000073740
17	1	6720132	6851021	6785576	6720132	6851021	1	suppression of tumorigenicity 18 [Source:MarkerSymbol;Acc:MGI:2446700]	ENSMUSG00000033740
18	1	7079284	7162676	7120980	7079284	7162676	1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MarkerSymbol;Acc:MGI:2441773]	ENSMUSG00000051285
19	1	7167673	7168971	7168322	7167673	7168971	1		ENSMUSG00000048538
1477	1	7255737	7255866	7255801	7255737	7255866	1	Small nucleolar RNA SNORA17 [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000077244
1363	1	7487933	7488234	7488083	7487933	7488234	1		ENSMUSG00000054338
20	1	8353117	8772831	8562974	8772831	8353117	-1	syntrophin, gamma 1 [Source:MarkerSymbol;Acc:MGI:1918346]	ENSMUSG00000025909
1595	1	8578549	8578658	8578603	8578658	8578549	-1		ENSMUSG00000076169
21	1	8781857	8782096	8781977	8782096	8781857	-1	CDC28 protein kinase regulatory subunit 2 [Source:MarkerSymbol;Acc:MGI:1913447]	ENSMUSG00000062248
1446	1	8806072	8806181	8806126	8806072	8806181	1		ENSMUSG00000076135
1364	1	8845857	8846199	8846028	8846199	8845857	-1	similar to RING-box protein 2 (Rbx2) (RING finger protein 7) (Sensitive to apoptosis gene protein) (LOC674643), mRNA [Source:RefSeq_dna;Acc:XR_004673]	ENSMUSG00000057742
1365	1	8846697	8847038	8846867	8846697	8847038	1	similar to RING-box protein 2 (Rbx2) (RING finger protein 7) (Sensitive to apoptosis gene protein) (LOC674647), mRNA [Source:RefSeq_dna;Acc:XR_004674]	ENSMUSG00000063565
1577	1	9443884	9443986	9443935	9443884	9443986	1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000065625
22	1	9530650	9532664	9531657	9530650	9532664	1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae) [Source:MarkerSymbol;Acc:MGI:1929721]	ENSMUSG00000061024
23	1	9533294	9563182	9548238	9533294	9563182	1	alcohol dehydrogenase, iron containing, 1 [Source:MarkerSymbol;Acc:MGI:1923437]	ENSMUSG00000025911
24	1	9559790	9560863	9560326	9559790	9560863	1		ENSMUSG00000067880
25	1	9586481	9612356	9599419	9586481	9612356	1	RIKEN cDNA 3110035E14 gene [Source:MarkerSymbol;Acc:MGI:1924232]	ENSMUSG00000067879
26	1	9655098	9678608	9666853	9678608	9655098	-1	myeloblastosis oncogene-like 1 [Source:MarkerSymbol;Acc:MGI:99925]	ENSMUSG00000025912
27	1	9708406	9733596	9721001	9733596	9708406	-1	valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MarkerSymbol;Acc:MGI:1917925]	ENSMUSG00000045210
28	1	9783344	9887784	9835564	9783344	9887784	1	serum/glucocorticoid regulated kinase 3 [Source:MarkerSymbol;Acc:MGI:2182368]	ENSMUSG00000025915
29	1	9787408	9787767	9787588	9787767	9787408	-1		ENSMUSG00000046334
30	1	9893852	9907741	9900796	9893852	9907741	1	RIKEN cDNA 6030422M02 gene [Source:MarkerSymbol;Acc:MGI:3045334]	ENSMUSG00000046101
1557	1	9927677	9927763	9927720	9927763	9927677	-1	Small nucleolar RNA SNORD87 [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000064944
31	1	9946138	9946338	9946238	9946338	9946138	-1	predicted gene, ENSMUSG00000073738 [Source:MarkerSymbol;Acc:MGI:3642215]	ENSMUSG00000073738
32	1	9953846	9994350	9974098	9994350	9953846	-1	RIKEN cDNA 4930418G15 gene [Source:MarkerSymbol;Acc:MGI:1921138]	ENSMUSG00000025916
1538	1	9995028	9995131	9995080	9995131	9995028	-1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000065085
33	1	10009816	10023160	10016488	10023160	10009816	-1	COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana) [Source:MarkerSymbol;Acc:MGI:1349415]	ENSMUSG00000025917
34	1	10030300	10053549	10041924	10030300	10053549	1	centrosome and spindle pole associated protein 1 [Source:MarkerSymbol;Acc:MGI:2681832]	ENSMUSG00000025918
35	1	10085874	10087046	10086460	10087046	10085874	-1		ENSMUSG00000067864
36	1	10097607	10121980	10109793	10097607	10121980	1	centrosome and spindle pole associated protein 1 [Source:MarkerSymbol;Acc:MGI:2681832]	ENSMUSG00000056763
37	1	10124049	10217708	10170879	10217708	10124049	-1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MarkerSymbol;Acc:MGI:2442988]	ENSMUSG00000067851
38	1	10309941	10705157	10507549	10705157	10309941	-1	carboxypeptidase A6 [Source:MarkerSymbol;Acc:MGI:3045348]	ENSMUSG00000042501
1579	1	10540768	10540874	10540821	10540874	10540768	-1	U6 spliceosomal RNA [Source: RFAM 8.0] [Source: RFAM 8.0]	ENSMUSG00000065035
39	1	10853902	10854663	10854282	10853902	10854663	1		ENSMUSG00000063237
40	1	10979007	11284089	11131548	10979007	11284089	1	DEP domain containing 2 [Source:MarkerSymbol;Acc:MGI:1923385]	ENSMUSG00000048960
